V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Zap70,4.23966889042544,3.86916909586862,114.60190622439,9.61935870754013e-27,3.2718099638029002e-24
Des,-2.04159689595866,3.13502452796605,8.00097136321693,0.0046752262728031,0.0291945965613405
Obsl1,-2.2754144961756,0.368271412160306,16.2464097597422,5.56148822903985e-05,0.0007895732755722
Serpine2,3.82500663438278,3.11415872365107,40.7744306863595,1.70854042182737e-10,1.00414438174016e-08
Cfh,1.69360976650047,8.75090202769171,50.5319965019133,1.17237742649759e-12,8.7988852300425e-11
Marco,-2.32441796840972,1.32476703055866,7.82850918513827,0.0051428500381449,0.0313554128214553
Cacna1s,-7.502390041703,-2.0754346452691,4.66573381960682,0.0307702716392176,0.115658020791096
Pkp1,-8.0796983910625,-0.759797753129263,19.8680995725091,8.29733951105898e-06,0.0001533425080043
Tnni1,-7.56064035441241,-2.45565814928477,6.30802326936128,0.0120192773987074,0.059284223540801
Rassf5,1.5897651490654,3.25716469196273,42.9883660506123,5.5066350962923694e-11,3.4932170098940404e-09
Nfasc,2.77942966055502,0.220347642925923,22.8526381889988,1.74909080839441e-06,3.949288935451e-05
Ppfia4,1.83478100943036,-0.343058816577909,8.74086495899505,0.0031115688841344,0.0213574668019635
Rgs16,-2.61125023080638,6.11508222926783,9.07244136123307,0.0025949039751174,0.018643656155608
Lamc2,-2.08317598990557,-1.00101942254832,10.1882876341945,0.0014133550299026,0.0115866120553969
Adcy10,-4.32430371993032,-1.54251064718003,4.81967320011721,0.02813667938281,0.108882342438538
Ush2a,6.09430776906709,-1.33307702907561,34.9108434126253,3.4515328045046602e-09,1.50754654133365e-07
Esrrg,-1.83403543402031,2.0889897469903,20.5209597287966,5.89818459739808e-06,0.000114985828017
Slc30a10,2.77647806523498,5.36470634717846,59.6635840013828,1.1253978985639301e-14,1.1386462535723399e-12
Irf6,2.82960424340685,5.15887564881707,101.668353371355,6.56407196371399e-24,1.7785297357954602e-21
Mgst3,-1.78810204525959,4.2989634311269,17.9916198858752,2.21879587425171e-05,0.0003637914958542
Fmo3,-12.152987656956,6.98498922695574,48.898784345084,2.69517740413525e-12,1.97638100837184e-10
Pfkfb3,2.00626325936347,3.54531525854185,10.7613829153804,0.0010363991355527,0.0089798789056618
Ak1,-3.37200084019658,-0.0685324124722503,7.49722314932053,0.0061794200318298,0.0360789658980395
